# Time-averaged data for fix myat1
# TimeStep v_kenergy v_penergy v_pres v_tempera v_dense v_entha
0 12.8743 -238.983 6380.09 400 0.896305 -183.707
10 11.7468 -237.827 6770.87 364.97 0.896305 -181.081
20 11.0553 -236.59 7063.91 343.483 0.896305 -178.588
30 12.485 -237.847 6602.34 387.904 0.896305 -181.483
40 15.1784 -240.529 5655.54 471.587 0.896305 -187.764
50 17.3535 -243.153 4834.59 539.167 0.896305 -193.669
60 18.3881 -244.889 4113.85 571.31 0.896305 -199.16
70 17.8505 -245.833 3523.66 554.609 0.896305 -204.565
80 17.7236 -246.309 3156.52 550.665 0.896305 -207.608
90 16.6817 -246.428 2861.7 518.295 0.896305 -210.728
100 16.709 -246.988 2479.25 519.143 0.896305 -213.802
110 16.3847 -247.881 1950.76 509.066 0.896305 -218.532
120 15.801 -248.8 1425.04 490.931 0.896305 -223.528
130 16.1912 -249.387 1174.5 503.056 0.896305 -225.391
140 16.0697 -249.879 928.507 499.279 0.896305 -227.639
150 15.9915 -250.653 649.196 496.849 0.896305 -230.347
160 15.8502 -251.122 468.81 492.46 0.896305 -232.156
170 15.4705 -251.052 430.634 480.664 0.896305 -232.72
180 14.6339 -250.942 374.941 454.668 0.896305 -233.816
190 14.7936 -250.933 383.672 459.632 0.896305 -233.589
200 13.9397 -250.888 316.138 433.1 0.896305 -234.847
210 14.5226 -251.336 295.233 451.211 0.896305 -234.851
220 14.8585 -251.832 212.931 461.647 0.896305 -235.558
230 15.0067 -251.961 234.82 466.252 0.896305 -235.394
240 13.8086 -251.878 181.825 429.029 0.896305 -236.861
250 13.7149 -251.994 113.31 426.118 0.896305 -237.526
260 13.3859 -252.332 -39.4238 415.896 0.896305 -239.208
270 13.3335 -252.708 -172.669 414.267 0.896305 -240.522
280 13.1297 -253.022 -306.057 407.936 0.896305 -241.926
290 13.682 -253.103 -264.487 425.095 0.896305 -241.178
300 13.6478 -253.107 -204.939 424.031 0.896305 -240.821
310 13.9839 -253.335 -235.923 434.476 0.896305 -240.919
320 13.9149 -253.653 -319.987 432.331 0.896305 -241.865
330 14.4389 -253.873 -338.574 448.61 0.896305 -241.685
340 13.9146 -253.842 -426.067 432.323 0.896305 -242.759
350 13.4941 -253.666 -436.969 419.257 0.896305 -243.076
360 13.0301 -253.606 -522.252 404.84 0.896305 -244.047
370 12.9887 -253.734 -599.642 403.555 0.896305 -244.73
380 13.2816 -253.93 -650.161 412.653 0.896305 -244.97
390 12.8653 -254.206 -795.424 399.719 0.896305 -246.627
400 12.6685 -254.293 -827.117 393.606 0.896305 -247.121
410 12.2604 -254.294 -858.384 380.926 0.896305 -247.738
420 11.7258 -254.344 -892.433 364.317 0.896305 -248.549
430 11.8651 -254.646 -953.921 368.645 0.896305 -249.121
440 12.7808 -255.143 -972.811 397.094 0.896305 -248.828
450 13.9008 -255.427 -911.602 431.892 0.896305 -247.585
460 13.8703 -255.287 -860.923 430.946 0.896305 -247.139
470 13.0436 -254.658 -766.534 405.259 0.896305 -246.708
480 12.3219 -253.82 -586.715 382.837 0.896305 -245.397
490 12.1569 -253.392 -543.183 377.709 0.896305 -244.845
500 12.1945 -253.505 -677.923 378.879 0.896305 -245.816
510 11.6762 -253.853 -891.761 362.775 0.896305 -248.104
520 12.7091 -254.205 -916.837 394.868 0.896305 -247.589
530 12.6428 -254.389 -986.508 392.806 0.896305 -248.303
540 12.4546 -254.287 -965.029 386.959 0.896305 -248.246
550 12.41 -254.007 -841.022 385.576 0.896305 -247.186
560 12.8129 -253.783 -719.65 398.093 0.896305 -245.753
570 12.3473 -253.599 -685.041 383.626 0.896305 -245.805
580 11.7775 -253.454 -666.372 365.921 0.896305 -246.105
590 11.6253 -253.663 -754.906 361.195 0.896305 -247.055
600 12.4409 -254.05 -774.22 386.535 0.896305 -246.755
610 12.3175 -254.242 -808.022 382.701 0.896305 -247.295
620 11.7126 -254.428 -886.597 363.906 0.896305 -248.608
630 12.2315 -254.645 -892.887 380.027 0.896305 -248.347
640 12.4657 -254.69 -873.455 387.304 0.896305 -248.03
650 12.675 -254.573 -848.439 393.809 0.896305 -247.537
660 13.3459 -254.48 -733.232 414.653 0.896305 -246.007
670 13.3071 -254.602 -735.144 413.448 0.896305 -246.181
680 13.8735 -254.774 -721.887 431.044 0.896305 -245.698
690 13.6599 -254.566 -685.503 424.408 0.896305 -245.462
700 13.5561 -254.323 -625.819 421.183 0.896305 -244.926
710 13.6247 -254.398 -677.675 423.315 0.896305 -245.277
720 13.5382 -254.604 -753.331 420.628 0.896305 -246.072
730 13.586 -254.708 -786.556 422.113 0.896305 -246.35
740 13.2008 -254.753 -809.378 410.143 0.896305 -246.932
750 13.5011 -255.018 -832.95 419.473 0.896305 -247.053
760 13.7415 -255.12 -829.252 426.942 0.896305 -246.89
770 13.8474 -254.695 -701.502 430.235 0.896305 -245.51
780 12.7544 -253.882 -547.814 396.276 0.896305 -244.769
790 13.0438 -253.404 -337.485 405.266 0.896305 -242.603
800 13.5882 -253.619 -338.089 422.18 0.896305 -242.277
810 13.5679 -254.027 -519.809 421.549 0.896305 -243.914
820 13.8085 -254.093 -530.271 429.024 0.896305 -243.808
830 13.7918 -253.86 -473.009 428.508 0.896305 -243.212
840 13.717 -253.68 -477.196 426.182 0.896305 -243.134
850 13.6545 -253.567 -496.439 424.24 0.896305 -243.212
860 14.0399 -253.542 -450.444 436.213 0.896305 -242.495
870 13.8404 -253.761 -535.842 430.017 0.896305 -243.481
880 14.1968 -254.001 -595.411 441.09 0.896305 -243.761
890 13.4866 -253.897 -611.99 419.025 0.896305 -244.477
900 13.7016 -253.509 -449.689 425.704 0.896305 -242.796
910 13.3104 -253.224 -373.685 413.548 0.896305 -242.397
920 13.512 -253.299 -391.623 419.812 0.896305 -242.389
930 13.5741 -253.581 -490.956 421.741 0.896305 -243.269
940 13.8094 -253.929 -610.754 429.052 0.896305 -244.179
950 13.108 -254.049 -733.932 407.261 0.896305 -245.818
960 13.366 -254.06 -701.173 415.277 0.896305 -245.354
970 12.9757 -254.112 -758.937 403.15 0.896305 -246.18
980 12.6239 -254.312 -836.294 392.219 0.896305 -247.246
990 12.3811 -254.744 -988.068 384.676 0.896305 -248.93
1000 12.9737 -255.043 -1011.15 403.089 0.896305 -248.789
1010 13.0631 -254.879 -929.362 405.867 0.896305 -247.992
1020 12.7853 -254.587 -905.464 397.235 0.896305 -247.819
1030 12.3616 -254.339 -836.339 384.072 0.896305 -247.535
1040 12.083 -254.125 -777.149 375.413 0.896305 -247.207
1050 12.715 -254.186 -734.666 395.051 0.896305 -246.354
1060 13.3565 -254.329 -731.73 414.981 0.896305 -245.835
1070 12.749 -254.152 -724.732 396.105 0.896305 -246.219
1080 12.6736 -254.257 -835.038 393.763 0.896305 -247.133
1090 12.8328 -254.625 -972.14 398.712 0.896305 -248.253
1100 12.2497 -254.611 -1037.91 380.593 0.896305 -249.259
1110 11.6478 -254.372 -990.978 361.891 0.896305 -249.31
1120 11.3432 -254.284 -940.129 352.427 0.896305 -249.189
1130 11.8038 -254.369 -902.801 366.741 0.896305 -248.566
1140 11.8423 -254.307 -830.307 367.937 0.896305 -247.983
1150 11.7464 -254.29 -801.864 364.956 0.896305 -247.873
1160 11.7176 -254.623 -925.514 364.062 0.896305 -249.056
1170 12.05 -254.99 -1012.97 374.389 0.896305 -249.673
1180 11.9527 -255.128 -1054.66 371.367 0.896305 -250.185
1190 11.9948 -255.186 -1125.02 372.675 0.896305 -250.668
1200 12.0228 -255.262 -1207.69 373.543 0.896305 -251.266
1210 12.7781 -255.559 -1248.81 397.011 0.896305 -251.081
1220 12.2742 -255.8 -1410.81 381.356 0.896305 -252.902
1230 12.1378 -255.905 -1463.81 377.116 0.896305 -253.496
1240 12.6037 -255.822 -1365.11 391.593 0.896305 -252.29
1250 12.7031 -255.588 -1217.98 394.681 0.896305 -250.98
1260 12.5167 -255.535 -1150.64 388.89 0.896305 -250.665
1270 12.8516 -255.578 -1056.1 399.293 0.896305 -249.745
1280 13.2905 -255.473 -921.781 412.931 0.896305 -248.308
